Date,Hour,cleaned_tweets,RTs,Followers,Following,Sentiment
2016-06-15,10:04,"#VR hardware is here, but robust game lineup isn’t. $EA $MSFT $SNE #E3 #tech",,5172.0,515.0,1
2016-06-15,08:42,OVAS Pacific Biosciences of California Inc. Exchange $OVAS $QRVO $EA $TMF #invest #stock,,71.0,40.0,1
2016-06-15,08:19,"$EA Rf xcw€•£*cc. Ze,*$*3,r#43€•¢t,😠°==™©•√",,6.0,6.0,1
2016-06-15,08:08,FXA CurrencyShares British Pound Sterling Trust Summary $FXA $IVOB $EA $HTS #nasdaq #investing,,86.0,40.0,1
2016-06-15,07:42,CBT Cabot Corp. Yield $CBT $EA $SQQQ $HXU.TO #stockmarket #nasdaq,,58.0,40.0,1
2016-06-15,07:19,Listen to $teelakejake - G$U$ $EA$UN - 05 Is It Real (prod. Seno) by $teelakejake #np on #SoundCloud,,13.0,4.0,1
2016-06-15,07:15,PFE PennyMac Mortgage Investment Trust E.P.S. $PFE $EA $LABD $WTI #invest #stockmarket,1.0,28167.0,6.0,1
2016-06-15,06:41,$EA:US Electronic Arts Follows Activision Into E-Sports #ELECTRONIC ARTS INC #NASDAQ,,2767.0,279.0,1
2016-06-15,06:39,PFE PennyMac Mortgage Investment Trust E.P.S. $PFE $EA $LABD $WTI #invest #stockmarket,1.0,60.0,40.0,1
2016-06-15,06:02,CEO Day Is Coming When Driving $TSLA in Real Life Can Get You Points in Video Games $EA,,2823.0,3184.0,1
2016-06-15,05:58,EA Direxion Daily Emerging Markets Bull 3x Shares Day Low $EA $UA $FCX $DIS #nasdaq #share,,60.0,40.0,1
2016-06-15,05:46,BTE.TO B2Gold Corp. Filings $BTE.TO $GBSN $CYS $EA #investing #share,,71.0,40.0,1
2016-06-15,05:41,AWK Alibaba Group Holding Ltd. Filings $AWK $IYT $SCWX $EA #stocks #tradeideas,,59.0,40.0,1
2016-06-15,05:39,This is what will make #VR explode. Sony could have a big winner here. $sne $atvi $ea #videogames …,4.0,290.0,2155.0,1
2016-06-15,05:26,$SNE Sony brings big guns to virtual reality at game expo- Nikkei Asian Review $CMCSA $AAPL $FB $…,1.0,289.0,2155.0,1
2016-06-15,04:51,SSO ProShares Ultra S&amp;P500 Market Cap $SSO $FVC $SCO $EA #stocks #share,,79.0,60.0,1
2016-06-15,04:06,$SNE Sony brings big guns to virtual reality at game expo- Nikkei Asian Review $CMCSA $AAPL $FB $MSFT $EA $LMCA $TWX,1.0,413.0,3571.0,1
2016-06-15,03:54,"EA Electronic Arts, Inc. Open $EA $SVXY $WTI $CYS #stockmarket #stock",,71.0,40.0,1
2016-06-15,03:29,$EA: EA Turns To Competitive Video Gaming For Growth:,,591.0,,1
2016-06-15,03:26,EA Turns To Competitive Video Gaming For Growth $AVTI $EA,,3699.0,30.0,1
2016-06-15,02:40,"RLYP Relypsa, Inc. Dividend $RLYP $SDS $GPRO $EA #tradeideas #stocks",,73.0,40.0,1
2016-06-15,02:25,"I bought a bag of $ea $alt cracker chips and&amp;+ when I opened my driver'$ $ide wind they quickly vacated vehicle, thanks",,128.0,241.0,1
2016-06-15,02:00,ERY Direxion Daily Energy Bear 3x Shares Last Trade $ERY $EA $EDC $GOOGL #tradeideas #stocks,1.0,966.0,6.0,1
2016-06-15,01:59,BLUE Company Info See Here ---&gt; $BLUE $MCRI $EA #stocks,,59.0,40.0,1
2016-06-15,01:58,ERY Direxion Daily Energy Bear 3x Shares Last Trade $ERY $EA $EDC $GOOGL #tradeideas #stocks,1.0,55.0,39.0,1
2016-06-15,01:43,lol $EA,,2082.0,35.0,1
2016-06-15,01:29,07-Coss- Ojos de cristal (Full Album Vol.1 $ea como $ea) vía,1.0,72.0,56.0,1
2016-06-15,01:29,02-Coss- La Brahma (Full Album Vol.1 $ea como $ea) vía,1.0,72.0,56.0,1
2016-06-15,01:09,07-Coss- Ojos de cristal (Full Album Vol.1 $ea como $ea) vía,1.0,834.0,625.0,1
2016-06-15,01:06,"Nightly Business Report – June 14, 2016 $SYF $VG $BABA $XRX $EA $ATVI $MSFT $LNKD",,3027.0,4964.0,1
2016-06-15,00:54,02-Coss- La Brahma (Full Album Vol.1 $ea como $ea) vía,1.0,834.0,625.0,1
2016-06-15,00:51,SA_QuickIdeas: E3 Is Here. Game On! $ZNGA $GLUU $GME $EA $ATVI,,1589.0,1376.0,1
